2715234,116120007I060200012030100001,1,1,FELISA FE-311 0212028TERMOAGITADOR MARCA FELISA MOD. FE-311,,,S/N,2898.12,2003-2-28
2715235,116120007I060200012030100002,1,1,FELISA FE-311 0207112TERMOAGITADOR MARCA FELISA MOD. MOD. FE,,,S/N,2898.12,2003-2-28
2715236,116120007I060200012030100003,2,1,FELISA PC-431 1163771AGITADOR MAGNETICO MCA.MOD.PC-431 S/116,,,S/116,1380.37,2003-2-28
2715237,116120007I060200012030100004,1,1,FELISA FE-311 0302142AGITADOR CON PLATO CALIENTE 13X13 CM 15,,,S/N,2898.12,2003-3-26
2715238,116120007I060200012030100005,1,1,FELISA FE-311 0302144AGITADOR CON PLATO CALIENTE 13X13 CM 15,,,S/N,2898.12,2003-3-26
2715239,116120007I060200012030100006,1,1,FELISA FE-311 0302143AGITADOR CON PLATO CALIENTE 13X13 CM 15,,,S,2898.12,2003-3-26
2715240,116120007I060200012980100001,1,1,SOLBA 602,,,,80,1998-4-6
2715242,116120007I060200012980100003,1,1,MAG-NIX 11-AA-9 65904NINGUNA,,,,200,1998-4-15
2715243,116120007I060200012980100004,1,1,MAG-NIX 11-AA-9 65904NINGUNA,,,,200,1998-4-15
2715244,116120007I060200012980100005,1,1,SOLBAT SIN 779-752-53NINGUNA,,,,850,1998-4-15
2715245,116120007I060200012980100006,1,1,SOLBAT SIN 779-752-53NINGUNA,,,,850,1998-4-15
2715247,116120007I060200012980100008,1,1,MAG-MIX SIN 11-AA-9MAG-MIX,,,,2000,1998-4-15
2715248,116120007I060200012980100009,1,1,LAB-LINE WZ48/5,,,,500,1998-4-16
2715249,116120007I060200014980100001,1,1,FICCSA AGITADOR TAMISES FICCSA MOTOR1/3 HPRM,,,,4000,1998-4-7
2715250,116120007I060200014980100002,1,1,535NINGUNA,,,,1000,1998-4-7
2715252,116120007I060200014980100004,1,1,479NINGUNA,,,,1000,1998-4-7
2715253,116120007I060200014980100005,1,1,435NINGUNA,,,,1000,1998-4-7
2715254,116120007I060200014980100006,1,1,CARLO-ERBA 1587-1 5700060MAGNETICO,,,,7000,1998-4-7
2715255,116120007I060200030980100001,3,1,SIEMENS ANALIZADOR DE GAS MARCASIEMENS,,,,300,1998-4-14
2715256,116120007I060200030980100002,3,1,SIEMENS ANALIZADOR DE GAS MARCASIEMENS,,,,300,1998-4-14
2715257,116120007I060200034980100001,1,1,PHILIPS LR39460C OSCILOSCOPIO.,,,,75,1998-5-6
2715258,116120007I060200034980100002,1,1,BXPRECISIO 1460 1853OSCILOSCOPIO.,,,,75,1998-5-6
2715259,116120007I060200048010100001,1,1,RIDGID KOL LMAN K-150 0A-SE VR56100-L00 APARATO PARA DESAGUE,,,,21032.39,2001-6-4
2715260,116120007I060200052980100004,1,1,LAP-VOLT AA793F 1124112DOBLE CANAL,,,,56000,1998-12-10
2715261,116120007I060200052980100005,1,1,LAP-VOLT AA793F 1124112DOBLE CANAL,,,,56000,1998-12-10
2715262,116120007I060200092980100001,3,1,GILARDONI 5992ECOSONAR,,,,800,1998-4-14
2715263,116120007I060200132980100001,1,1,PERKYNS MARTENS APARATO PUNTO DE3 INFLAMACIONMARCA PERKYNS M,,,,500,1998-4-15
2715264,116120007I060200146980100001,1,1,TS1 1310NUCLEO ELECTRONICO,,,,2000,1998-5-19
2715266,116120007I060200146980100003,1,1,150 SOLID STATE SIGNAL TRACER,,,,2000,1998-5-19
2715267,116120007I060200146980100004,1,1,MULTIPLICADOR DE SEñALES(GENERADOR),,,,2000,1998-5-19
2715268,116120007I060200146980100005,1,1,MULTIPLICADOR DE SEñALES(GENERADOR),,,,2000,1998-5-19
2715269,116120007I060200152980100001,1,1,ALTERNADOR-REGULADOR-GENERADOR,,,,400,1998-4-14
2715270,116120007I060200158980100001,1,1,BOBINA DE INDUCCION,,,,50,1998-11-17
2715271,116120007I060200172980100001,1,1,TERZAMO LILIPUT 27200SOLBA J/12 308,,,,12,1998-4-6
2715272,116120007I060200172980100002,4,2,ADAMS DYNAC AJ-638NINGUNA,,,,2000,1998-4-7
2715274,116120007I060200172980100004,1,1,CLAY ADAMS READACRIT 2005NINGUNA,,,,2000,1998-4-7
2715275,116120007I060200172980100005,1,1,DRUCKER 422 DD00208NINGUNA,,,,2000,1998-4-7
2715276,116120007I060200172980100006,1,1,SOL-BAT J-12 306NINGUNA,,,,2000,1998-4-7
2715277,116120007I060200172980100007,1,1,SPINETTE NINGUNA,,,,12,1998-4-15
2715278,116120007I060200172980100008,1,1,CLAY ADAMS 2739759 11951NINGUNA,,,,12,1998-4-15
2715279,116120007I060200172980100009,4,2,SARGENT S-15700 75020030,,,,1200,1998-4-16
